JobRole,CategoryLabel,Skills,JobDescription
Teaching / EdTech,education_training,"curriculum design; lesson planning; classroom management; assessment creation; grading; feedback; learning objectives; instructional design; e learning tools; LMS; moodle; canvas; educational technology; video creation; facilitation; communication; empathy; differentiation","Delivers learning experiences in classrooms, online platforms, or blended environments. Plans lessons that align with curriculum standards and learner needs. Uses a variety of methods and technologies to explain concepts and engage students. Designs assessments and provides feedback that supports growth. Reflects on teaching practice and experiments with tools and approaches to improve learning outcomes."
Corporate Learning & Development,education_training,"training needs analysis; competency frameworks; instructional design; workshop design; facilitation; coaching; e learning development; LMS administration; evaluation models; Kirkpatrick basics; stakeholder management; communication; change management","Designs and implements training and development initiatives for employees. Identifies skill gaps and learning needs through data, interviews, and performance reviews. Creates programs that mix live sessions, digital content, and on the job activities. Facilitates workshops or coordinates external trainers and platforms. Measures impact on performance and continuously refines the learning portfolio."
Law / Legal Consultancy,legal_government,"legal research; statutory interpretation; contract drafting; contract review; case analysis; memo writing; negotiation; client communication; due diligence; compliance review; litigation support; document management; attention to detail; confidentiality","Provides legal advice and services to individuals, businesses, or organizations. Researches statutes, case law, and regulations to clarify obligations and risks. Drafts and reviews contracts, policies, and other legal documents. Represents or supports clients in negotiations, disputes, or regulatory interactions. Maintains high standards of ethics, confidentiality, and documentation."
Public Administration / Government,legal_government,"public policy basics; program design; program evaluation; budgeting; procurement processes; stakeholder engagement; regulatory frameworks; report writing; presentations; data analysis; governance; project management; community outreach","Works within government or public sector institutions to design and deliver programs and services. Interprets and applies policies and regulations to specific contexts. Coordinates with internal departments and external stakeholders such as citizens, NGOs, or businesses. Monitors outcomes, addresses issues, and recommends improvements. Balances transparency, accountability, and efficient use of public resources."
Defense & Military,legal_government,"strategic thinking; situational awareness; discipline; teamwork; operations planning; logistics coordination; communication; basic technology skills; equipment handling; safety procedures; training participation; reporting","Supports national security and defense objectives through operational, technical, or administrative roles. Follows strict procedures, hierarchies, and codes of conduct. Participates in training to maintain physical fitness, skills, and readiness. Manages resources, information, or equipment reliably and securely. Collaborates closely with colleagues in high pressure and sometimes hazardous environments."
NGO / Social Work,legal_government,"community outreach; case management; needs assessment; program implementation; report writing; fundraising basics; grant applications; stakeholder coordination; advocacy; facilitation; empathy; conflict resolution; monitoring and evaluation","Works with communities or vulnerable groups to address social, economic, or environmental issues. Assesses needs, designs interventions, and connects people with services or support. Collaborates with local leaders, volunteers, donors, and institutions. Documents activities and outcomes and reports to funders or authorities. Advocates for policy or practice changes based on field experience and evidence."
Mechanical Engineering,core_engineering_manufacturing,"engineering mechanics; thermodynamics; fluid mechanics; machine design; CAD; solidworks; inventor; finite element analysis; ANSYS; materials science; manufacturing processes; tolerancing; prototyping; technical drawing; project work; testing; failure analysis","Designs and analyzes mechanical components and systems such as machines, engines, or structures. Uses analytical methods and simulations to predict performance and safety. Creates detailed drawings and specifications for manufacturing. Collaborates with cross functional teams during prototyping, testing, and production. Troubleshoots issues and proposes improvements for efficiency, cost, or reliability."
Electrical / Electronics Engineering,core_engineering_manufacturing,"circuit analysis; digital electronics; analog electronics; microcontrollers; PCB design; schematic capture; layout tools; power electronics; control systems; instrumentation; signal processing basics; testing equipment; oscilloscopes; multimeters; embedded programming; safety standards","Designs and tests systems that generate, distribute, or use electrical energy or electronic signals. Develops circuits and selects components to meet performance and cost targets. Lays out PCBs and works with manufacturers to produce boards. Conducts lab measurements and debugging using specialized instruments. Coordinates with mechanical and software teams to integrate electronics into larger products."
Civil & Construction,core_engineering_manufacturing,"structural analysis; concrete design; steel design; geotechnical basics; surveying; AutoCAD; Revit; project scheduling; site supervision; quantity estimation; construction methods; safety regulations; building codes; contract administration","Plans, designs, and oversees construction of infrastructure such as buildings, roads, bridges, or water systems. Prepares drawings, specifications, and cost estimates in line with codes and standards. Coordinates with contractors, suppliers, and authorities to manage site activities. Monitors quality, safety, and progress and addresses issues as they arise. Ensures structures meet long term performance and sustainability requirements."
Chemical Engineering,core_engineering_manufacturing,"mass transfer; heat transfer; thermodynamics; reaction engineering; process design; PFDs; P and IDs; simulation tools; Aspen HYSYS; Aspen Plus; safety analysis; HAZOP basics; unit operations; distillation; reactors; process control; plant operations","Designs and optimizes processes for producing chemicals, fuels, or materials at scale. Develops and simulates flowsheets to meet capacity, quality, and safety targets. Works with multidisciplinary teams to design equipment, layouts, and control strategies. Participates in commissioning, troubleshooting, and continuous improvement of plants. Emphasizes safe operation, environmental compliance, and energy efficiency."
Aerospace / Automotive,core_engineering_manufacturing,"vehicle dynamics; aerodynamics; propulsion basics; CAD; CATIA; NX; structural analysis; FEA; materials selection; testing procedures; data acquisition; quality standards; safety regulations; simulation tools; project collaboration","Designs and tests vehicles, aircraft, or related components and systems. Applies principles of dynamics, structures, and materials to achieve performance and safety goals. Uses CAD and simulation software to iterate before prototyping. Participates in wind tunnel, track, or flight tests and analyzes results. Collaborates with other engineering disciplines and manufacturing teams throughout development."
Industrial / Manufacturing Engineering,core_engineering_manufacturing,"process mapping; lean manufacturing; Six Sigma basics; time and motion studies; capacity planning; production scheduling; layout design; quality tools; SPC; root cause analysis; ERP familiarity; Excel; data analysis; continuous improvement","Improves manufacturing systems to increase productivity, quality, and flexibility. Analyzes workflows, identifies waste, and implements changes based on lean principles. Designs layouts, work instructions, and standards that support safe and efficient operations. Monitors key metrics and leads problem solving initiatives with shop floor teams. Collaborates with engineering, maintenance, and supply chain to coordinate changes."
Retail & E-commerce,retail_hospitality_travel,"customer service; point of sale systems; merchandising; inventory control; product listing; catalog management; pricing; promotions; order fulfillment; basic analytics; online marketplaces; CMS tools; omnichannel awareness","Manages product sales and customer experiences in physical or online retail contexts. Handles tasks such as stocking, display, and checkout in stores or listing, pricing, and content in e commerce platforms. Assists customers with inquiries, issues, and returns in a courteous manner. Monitors stock levels and coordinates with suppliers or warehouses to avoid shortages. Supports campaigns and analyzes basic performance data to improve sales and satisfaction."
Hospitality & Tourism,retail_hospitality_travel,"guest relations; reservations; check in and check out; front office systems; property management systems; tour planning; event coordination; service standards; complaint handling; cultural awareness; time management; teamwork","Provides services to travelers and guests in hotels, resorts, travel agencies, or tour operations. Manages bookings, welcomes guests, and addresses their needs during their stay or trip. Coordinates with housekeeping, food and beverage, and other departments to deliver smooth experiences. Handles issues and complaints professionally to protect reputation. Promotes local attractions or services and supports revenue generating activities."
Food Services Management,retail_hospitality_travel,"kitchen operations; menu planning; food safety; HACCP basics; hygiene standards; inventory management; supplier coordination; staff scheduling; cost control; customer service; POS familiarity; quality control; training","Oversees operations in restaurants, cafeterias, or catering businesses. Ensures food is prepared and served safely, consistently, and in line with brand or nutritional standards. Manages staff rosters, procurement, and stock levels to balance service quality and cost. Monitors customer feedback and addresses problems quickly. Implements procedures and training to maintain cleanliness, efficiency, and compliance with regulations."
Environmental Science / ESG,sustainability_misc,"environmental impact assessment; sustainability reporting; ESG frameworks; GRI basics; data collection; environmental regulations; carbon accounting; life cycle assessment basics; stakeholder engagement; report writing; presentation skills; policy awareness","Analyzes and reports on environmental and sustainability performance of projects or organizations. Collects and interprets data on emissions, resource use, and ecological impacts. Supports compliance with environmental laws and voluntary standards. Prepares reports for internal stakeholders, investors, or regulators. Advises on initiatives that reduce negative impacts and support long term sustainability goals."
Agriculture / Food Tech,sustainability_misc,"agronomy basics; soil science; crop management; irrigation knowledge; post harvest handling; food processing basics; quality standards; HACCP awareness; supply chain awareness; data collection; basic analytics; technology adoption","Works on improving agricultural production or food processing through technology and best practices. Supports activities such as crop planning, input usage, and monitoring of field or facility conditions. Assists in implementing quality and safety standards in storage or processing. Participates in trials or pilots of new seeds, equipment, or digital tools. Collaborates with farmers, agronomists, or operations teams to solve practical problems."
Energy & Renewable Tech,sustainability_misc,"solar PV; wind energy basics; grid integration awareness; energy systems; power electronics basics; site assessment; yield estimation; project coordination; safety awareness; regulatory awareness; reporting; basic simulation tools","Contributes to projects that generate or manage energy from renewable sources. Supports design, installation, or operation of systems such as solar arrays or wind turbines. Collects and analyzes performance data to identify issues and improvement opportunities. Ensures work adheres to safety and regulatory requirements. Works with engineers, contractors, and clients to deliver projects smoothly."
Esports & Gaming Careers,sustainability_misc,"game knowledge; competitive play; team coordination; communication; streaming tools; OBS; content creation; social media management; event organization basics; community engagement; analytics basics; sponsorship awareness","Works in the professional gaming ecosystem as a player, coach, analyst, content creator, or organizer. Practices and studies games to compete or provide insightful commentary and analysis. Builds an online presence through streams, videos, or social media. Coordinates or participates in tournaments, leagues, or community events. Understands the business side of esports including partnerships, sponsorships, and audience engagement."
